target_pnc;target_name;first-association;count-per-first-association;all-associations;count-per-association;total-count-associations;perception;perception-median;perception-avg;age;percentage-known;cleaned-first;cleaned-associations;annotator_count;all_ages;origin
Abschiebe-Kretschmann;Winfried Kretschmann;['ministerpräsident', 'migration', 'grüne', 'grün', 'politiker', 'politikerin', 'schwäbisch'];[2, 1, 1, 1, 1, 1, 1];"['ministerpräsident', 'grüne', 'baden-württemberg', 'migration', 'schwabe', 'grün', 'reaktionär', 'neoliberal', 'wollte abschiebungen erleichtern', 'sachsen', 'cdu', 'setzt sich für abschiebung krimineller ausländer ein', 'politiker', 'flüchtlinge', 'umstritten', 'konsequent', 'politikerin', 'sorgt für viele abschiebungen', 'soziale partei', 'schwäbisch', '""grün-schwarz""', '""pragmatisch""', 'konservativ']";[3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];23;[2.0, 3.0, 5.0, 3.0, 1.0, 4.0, 2.0, 5.0];3;3.125;['30-39', '60-69', '40-49', '40-49', '40-49', '30-39', '20-29', '20-29'];53.33333333;['migration', 'grüne', 'grün', 'ministerpräsident', 'ministerpräsident', 'politiker', 'politikerin', 'schwäbisch'];"[['migration', 'grüne', 'baden-württemberg'], ['grüne', 'ministerpräsident', 'schwabe'], ['grün', 'baden-württemberg', 'reaktionär', 'neoliberal'], ['ministerpräsident', 'wollte abschiebungen erleichtern'], ['ministerpräsident', 'sachsen', 'cdu', 'setzt sich für abschiebung krimineller ausländer ein'], ['politiker', 'flüchtlinge', 'umstritten', 'konsequent'], ['politikerin', 'sorgt für viele abschiebungen', 'soziale partei'], ['schwäbisch', '""grün-schwarz""', '""pragmatisch""', 'konservativ']]";15;['30-39', '60-69', '40-49', '20-29', '50-59', '40-49', '40-49', '40-49', '30-39', '20-29', '30-39', '30-39', '20-29', '20-29', '20-29'];prolific
Abschiebe-Seehofer;Horst Seehofer;['unsympathisch', 'arbeitet hart gegen asylanten', 'csu-politiker', 'innenminister aus bayern', 'cdu', 'rechter populist', '66. geburtstag 66 abschiebungen', 'geburtstag', 'abschiebung', 'csu', 'ehemaliger ministerpräsident bayern'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];['bayern', 'csu', 'unsympathisch', 'ausländerpolitik', 'politik', 'arbeitet hart gegen asylanten', 'kaltherzig', 'csu-politiker', 'innenminister aus bayern', 'mehr der strenge typ', 'cdu', 'konservativ', 'flüchtlingspolitik', 'rechter populist', '66. geburtstag 66 abschiebungen', 'politiker', 'geburtstag', 'populismus', 'rechts', 'abschiebung', 'innere sicherheit', 'minister', 'rechtsaußen', 'ehemaliger ministerpräsident bayern', 'war gegen asylpolitik', 'hat viele asylanten zwangsabgeschoben'];[2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];26;[4.0, 5.0, 3.0, 3.0, 3.0, 4.0, 5.0, 3.0, 2.0, 4.0, 3.0];3;3.545454545;['20-29', '30-39', '30-39', '40-49', '50-59', '40-49', '40-49', '30-39', '50-59', '60-69', '70+'];73.33333333;['unsympathisch', 'arbeitet hart gegen asylanten', 'csu-politiker', 'innenminister aus bayern', 'cdu', 'rechter populist', '66. geburtstag 66 abschiebungen', 'geburtstag', 'abschiebung', 'csu', 'ehemaliger ministerpräsident bayern'];[['unsympathisch', 'ausländerpolitik', 'politik'], ['arbeitet hart gegen asylanten', 'kaltherzig'], ['csu-politiker', 'bayern'], ['innenminister aus bayern', 'mehr der strenge typ'], ['cdu', 'konservativ', 'flüchtlingspolitik'], ['rechter populist', 'csu', 'bayern'], ['66. geburtstag 66 abschiebungen', 'politiker'], ['geburtstag', 'populismus', 'rechts'], ['abschiebung', 'innere sicherheit'], ['csu', 'minister', 'rechtsaußen'], ['ehemaliger ministerpräsident bayern', 'war gegen asylpolitik', 'hat viele asylanten zwangsabgeschoben']];15;['20-29', '30-39', '30-39', '30-39', '40-49', '50-59', '40-49', '30-39', '40-49', '30-39', '50-59', '60-69', '70+', '20-29', '50-59'];prolific
AfD-Höcke;Björn Höcke;['nazi', 'politiker', 'rassistisch', 'hohes parteimitglied', 'völkisch', 'rechts', 'unsympatisch', 'landtag', 'rechtsextrem'];[3, 3, 1, 1, 1, 1, 1, 1, 1];['nazi', 'rechtsextrem', 'politiker', 'rechts', 'afd-mitglied', 'rassistisch', 'gefährlich', 'hitler', 'schandmal', 'hohes parteimitglied', 'rechtsextremer', 'afd-kandidatur', 'völkisch', 'demokratiefeindlich', 'rechter rand', 'afd', 'unsympatisch', 'viel zu viel an nazi', 'irgendwie daneben trotz studiums', 'landtag', 'thüringen', 'kritikwürdige aussagen', 'hetzer', 'heißt eigentlich bernd', 'populist', 'rechts außen', 'demokratiefeind', 'bekannt', 'stellvertretend', 'mächtig', 'parteivorsitzender', 'seltsame ansichten', 'fremdenhass', 'pegida', 'geschichtsverzehrung'];[5, 4, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];35;[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0];5;5;['30-39', '60-69', '40-49', '50-59', '40-49', '40-49', '40-49', '20-29', '30-39', '30-39', '20-29', '20-29', '20-29'];86.66666667;['rassistisch', 'nazi', 'hohes parteimitglied', 'völkisch', 'rechts', 'unsympatisch', 'landtag', 'nazi', 'nazi', 'politiker', 'politiker', 'politiker', 'rechtsextrem'];[['rassistisch', 'gefährlich', 'rechtsextrem'], ['nazi', 'hitler', 'schandmal'], ['hohes parteimitglied', 'rechtsextremer', 'afd-kandidatur'], ['völkisch', 'demokratiefeindlich', 'rechter rand'], ['rechts', 'afd', 'nazi'], ['unsympatisch', 'viel zu viel an nazi', 'irgendwie daneben trotz studiums'], ['landtag', 'thüringen', 'rechts', 'kritikwürdige aussagen'], ['nazi', 'hetzer', 'afd-mitglied', 'heißt eigentlich bernd'], ['nazi', 'populist', 'rechts außen', 'demokratiefeind'], ['politiker', 'bekannt', 'stellvertretend', 'mächtig'], ['politiker', 'rechtsextrem', 'parteivorsitzender'], ['politiker', 'afd-mitglied', 'rechtsextrem', 'seltsame ansichten'], ['rechtsextrem', 'fremdenhass', 'pegida', 'geschichtsverzehrung', 'nazi']];15;['30-39', '60-69', '40-49', '20-29', '50-59', '40-49', '40-49', '40-49', '30-39', '20-29', '30-39', '30-39', '20-29', '20-29', '20-29'];prolific
AfD-Meuthen;Jörg Meuthen;['rechts', 'politiker', 'früherer afd-chef', 'afd-gründer', 'afd', 'vorsitzender afd', 'nazi', 'rechtsextrem'];[2, 2, 1, 1, 1, 1, 1, 1];['rechts', 'politiker', 'rassistisch', 'gruselig', 'populismus', 'austritt', 'früherer afd-chef', 'medienwirksam', 'afd-gründer', 'partei verlassen', 'machtkampf', 'afd', 'menschenfeind', 'vorsitzender afd', 'einfacher typ', 'nichts auffallendes', 'nazi', 'verfassungsfeind', 'hochrangiges afd-mitglied', 'stellvertretend', 'bekannt', 'einflussreich', 'umstritten', 'ehemaliges afd-mitglied', 'parteilos', 'rechtsextrem', 'verfassungsschutz', 'sehr konserativ', 'auf dem rechten auge blind', 'entlassung'];[3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];30;[4.0, 3.0, 5.0, 4.0, 5.0, 2.0, 5.0, 2.0, 3.0, 5.0];4;3.8;['30-39', '60-69', '40-49', '50-59', '40-49', '40-49', '20-29', '30-39', '20-29', '20-29'];66.66666667;['rechts', 'rechts', 'früherer afd-chef', 'afd-gründer', 'afd', 'vorsitzender afd', 'nazi', 'politiker', 'politiker', 'rechtsextrem'];[['rechts', 'rassistisch', 'gruselig'], ['rechts', 'populismus', 'austritt'], ['früherer afd-chef', 'medienwirksam'], ['afd-gründer', 'partei verlassen', 'machtkampf'], ['afd', 'menschenfeind', 'rechts'], ['vorsitzender afd', 'einfacher typ', 'nichts auffallendes'], ['nazi', 'verfassungsfeind', 'hochrangiges afd-mitglied'], ['politiker', 'stellvertretend', 'bekannt', 'einflussreich', 'umstritten'], ['politiker', 'ehemaliges afd-mitglied', 'parteilos'], ['rechtsextrem', 'verfassungsschutz', 'sehr konserativ', 'auf dem rechten auge blind', 'entlassung']];15;['30-39', '60-69', '40-49', '20-29', '50-59', '40-49', '40-49', '40-49', '30-39', '20-29', '30-39', '30-39', '20-29', '20-29', '20-29'];prolific
Affären-Scholz;Olaf Scholz;['spd', 'cum-ex affäre', 'untreue', 'cum-ex-affaire', 'bundeskanzler', 'mögliche politische kontroversen', 'politiker'];[3, 1, 1, 1, 1, 1, 1];['spd', 'bundeskanzler', 'kanzler', 'cum-ex affäre', 'vergesslichkeit', 'verbrecher', 'untreue', 'geheime liebe', 'economic crisis', 'inflation', 'cum-ex-affaire', 'wissenslücken', 'cumex', 'kein erinnerungsvermögen', 'hamburg oberbürgermeister', 'wirecard', 'brechmittel', 'warburg-bank', 'mögliche politische kontroversen', 'öffentliche wahrnehmung', 'diskussionen', 'politiker'];[5, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];22;[5.0, 3.0, 3.0, 1.0, 3.0, 4.0, 3.0, 3.0, 1.0];3;2.888888889;['30-39', '20-29', '20-29', '30-39', '60-69', '30-39', '20-29', '30-39', '40-49'];60;['cum-ex affäre', 'spd', 'untreue', 'spd', 'cum-ex-affaire', 'bundeskanzler', 'spd', 'mögliche politische kontroversen', 'politiker'];[['cum-ex affäre', 'vergesslichkeit', 'verbrecher', 'kanzler'], ['spd', 'bundeskanzler'], ['untreue', 'geheime liebe'], ['spd', 'economic crisis', 'inflation'], ['cum-ex-affaire', 'wissenslücken', 'bundeskanzler'], ['bundeskanzler', 'spd', 'cumex', 'kein erinnerungsvermögen', 'hamburg oberbürgermeister', 'wirecard'], ['spd', 'brechmittel', 'warburg-bank'], ['mögliche politische kontroversen', 'öffentliche wahrnehmung', 'diskussionen'], ['politiker', 'spd', 'kanzler']];15;['30-39', '30-39', '20-29', '50-59', '20-29', '0-19', '30-39', '60-69', '30-39', '20-29', '30-39', '40-49', '30-39', '30-39', '20-29'];prolific
Agenda-Schröder;Gerhard Schröder;['spd', 'agenda 2010', 'früherer deutscher bundeskanzler'];[4, 3, 1];['agenda 2010', 'spd', 'hartz4', 'ex-bundeskanzler', 'wirtschaftspolitik', 'soziale auswirkungen', 'bundeskanzler', 'neoliberal', 'stolz auf niedriglöhne', 'reformen des arbeitsrechts', 'harz1 und harz2', 'früherer deutscher bundeskanzler', 'agenda der spd 2010', 'rede bundestag', 'deutschland modernisieren', 'hatte seine eigene politische agenda durchgesetzt', 'ex-kanzler', 'agenda 2000', 'gazprom'];[4, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];19;[4.0, 5.0, 5.0, 2.0, 4.0, 5.0, 4.0, 2.0];4;3.875;['30-39', '40-49', '40-49', '30-39', '50-59', '30-39', '60-69', '50-59'];53.33333333;['agenda 2010', 'spd', 'agenda 2010', 'agenda 2010', 'früherer deutscher bundeskanzler', 'spd', 'spd', 'spd'];[['agenda 2010', 'wirtschaftspolitik', 'soziale auswirkungen'], ['spd', 'bundeskanzler', 'agenda 2010', 'neoliberal', 'stolz auf niedriglöhne'], ['agenda 2010', 'hartz4'], ['agenda 2010', 'reformen des arbeitsrechts', 'harz1 und harz2'], ['früherer deutscher bundeskanzler', 'agenda der spd 2010', 'rede bundestag', 'deutschland modernisieren'], ['spd', 'ex-bundeskanzler', 'hatte seine eigene politische agenda durchgesetzt'], ['spd', 'ex-kanzler', 'agenda 2000', 'hartz4'], ['spd', 'ex-bundeskanzler', 'gazprom']];15;['30-39', '40-49', '40-49', '30-39', '40-49', '40-49', '30-39', '30-39', '50-59', '30-39', '60-69', '50-59', '30-39', '20-29', '30-39'];prolific
Aktenkoffer-Schäuble;Wolfgang Schäuble;['cdu', 'schwarzgeld', 'finanzpolitik', 'bundestagspräsident', 'formell', '100000 mark', 'nicht gemeldete parteispenden'];[2, 1, 1, 1, 1, 1, 1];['finanzpolitik', 'gestorben', 'cdu', 'schwarzgeld', 'korruption', 'verbrecher', 'gefängnis', 'politiker', 'seriösität', 'langjährige politische erfahrung', 'bundestagspräsident', 'koffer-affäre', 'ehemaliger finanzminister', 'schwarze null', 'spendenaffäre', 'betrug', 'formell', 'seriös', 'langjähriger politiker', '100000 mark', 'spende', 'afd', 'bundestag', 'nicht gemeldete parteispenden', 'parteispendenaffäre', 'aktenkoffer mit einer millionen d-mark'];[2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];26;[5.0, 3.0, 3.0, 1.0, 5.0, 4.0, 4.0, 5.0];4;3.75;['30-39', '30-39', '60-69', '30-39', '20-29', '30-39', '40-49', '20-29'];53.33333333;['schwarzgeld', 'finanzpolitik', 'bundestagspräsident', 'cdu', 'cdu', 'formell', '100000 mark', 'nicht gemeldete parteispenden'];[['schwarzgeld', 'korruption', 'verbrecher', 'gefängnis', 'politiker'], ['finanzpolitik', 'seriösität', 'langjährige politische erfahrung'], ['bundestagspräsident', 'koffer-affäre', 'gestorben'], ['cdu', 'ehemaliger finanzminister', 'gestorben', 'schwarze null'], ['cdu', 'spendenaffäre', 'betrug'], ['formell', 'finanzpolitik', 'seriös', 'langjähriger politiker'], ['100000 mark', 'spende', 'afd', 'bundestag'], ['nicht gemeldete parteispenden', 'parteispendenaffäre', 'aktenkoffer mit einer millionen d-mark']];15;['30-39', '30-39', '20-29', '50-59', '20-29', '0-19', '30-39', '60-69', '30-39', '20-29', '30-39', '40-49', '30-39', '30-39', '20-29'];prolific
Aktien-Merz;Friedrich Merz;['cdu', 'geschäftsmann', 'cdu-politiker', 'er wirkt wirtschaftsnah', 'reich', 'blackrock', 'reichtum', 'besitz von aktien und wertpapiere'];[2, 1, 1, 1, 1, 1, 1, 1];['geschäftsmann', 'reich', 'cdu', 'möchtegern-kanzler', 'blackrock', 'unehrlich', 'cdu-politiker', 'hört sich selbst gern reden', 'er wirkt wirtschaftsnah', 'schlecht gelaunt', 'erfolgreich', 'populist', 'aktien', 'geld', 'reichtum', 'privatflugzeug', 'vorsitz', 'besitz von aktien und wertpapiere', 'setzt sich ein dass mehr deutsche bürger aktien kaufen sollen', 'zum teil auch rentensystem'];[2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];20;[5.0, 3.0, 3.0, 3.0, 4.0, 1.0, 1.0, 4.0, 1.0];3;2.777777778;['30-39', '30-39', '40-49', '50-59', '40-49', '30-39', '50-59', '60-69', '70+'];60;['geschäftsmann', 'cdu-politiker', 'er wirkt wirtschaftsnah', 'reich', 'cdu', 'blackrock', 'reichtum', 'cdu', 'besitz von aktien und wertpapiere'];[['geschäftsmann', 'unehrlich', 'reich'], ['cdu-politiker', 'hört sich selbst gern reden'], ['er wirkt wirtschaftsnah', 'schlecht gelaunt'], ['reich', 'geschäftsmann', 'erfolgreich'], ['cdu', 'möchtegern-kanzler', 'populist'], ['blackrock', 'aktien', 'geld'], ['reichtum', 'blackrock', 'privatflugzeug'], ['cdu', 'vorsitz', 'möchtegern-kanzler'], ['besitz von aktien und wertpapiere', 'setzt sich ein dass mehr deutsche bürger aktien kaufen sollen', 'zum teil auch rentensystem']];15;['20-29', '30-39', '30-39', '30-39', '40-49', '50-59', '40-49', '30-39', '40-49', '30-39', '50-59', '60-69', '70+', '20-29', '50-59'];prolific
Alleingang-Söder;Markus Söder;['kompromisslos', 'dass der söder lieber mit bayern einen alleingang macht anstatt mit anderen bundesländern zusammenzuarbeiten', 'cdu', 'sturkopf', 'ministerpräsident', 'politiker', 'ego', 'franke', 'bayern', 'ministerpräsident von bayern', 'minister'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];['bayern', 'politiker', 'kompromisslos', 'stur', 'inkompetent', 'dass der söder lieber mit bayern einen alleingang macht anstatt mit anderen bundesländern zusammenzuarbeiten', 'cdu', 'kreuz in der kirche', 'sturkopf', 'egoist', 'eigenwillig.', 'ministerpräsident', 'aiwanger', 'ego', 'macho', 'franke', 'möchtegern-kanzler-kandidat', 'umarmt bäume', 'csu', 'größenfantasien', 'kanzlerambitionen', 'was interessiert mich mein geschwätz von gestern?', 'ministerpräsident von bayern', 'kontroverse entscheidungen', 'gegen migration', 'für deutsche produkte', 'minister', 'atomkraftwerk'];[5, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];28;[5.0, 2.0, 3.0, 4.0, 3.0, 2.0, 4.0, 2.0, 3.0, 2.0, 2.0];3;2.909090909;['30-39', '30-39', '30-39', '50-59', '40-49', '30-39', '30-39', '50-59', '60-69', '70+', '50-59'];73.33333333;['kompromisslos', 'dass der söder lieber mit bayern einen alleingang macht anstatt mit anderen bundesländern zusammenzuarbeiten', 'cdu', 'sturkopf', 'ministerpräsident', 'politiker', 'ego', 'franke', 'bayern', 'ministerpräsident von bayern', 'minister'];[['kompromisslos', 'stur', 'inkompetent'], ['dass der söder lieber mit bayern einen alleingang macht anstatt mit anderen bundesländern zusammenzuarbeiten'], ['cdu', 'politiker', 'kreuz in der kirche'], ['sturkopf', 'egoist', 'eigenwillig.'], ['ministerpräsident', 'aiwanger', 'bayern'], ['politiker', 'bayern'], ['ego', 'macho', 'bayern'], ['franke', 'möchtegern-kanzler-kandidat', 'umarmt bäume'], ['bayern', 'csu', 'größenfantasien', 'kanzlerambitionen', 'was interessiert mich mein geschwätz von gestern?'], ['ministerpräsident von bayern', 'kontroverse entscheidungen', 'gegen migration', 'für deutsche produkte'], ['minister', 'bayern', 'atomkraftwerk']];15;['20-29', '30-39', '30-39', '30-39', '40-49', '50-59', '40-49', '30-39', '40-49', '30-39', '50-59', '60-69', '70+', '20-29', '50-59'];prolific
Amigo-Strauß;Franz Josef Strauß;['csu', 'vetternwirtschaft', 'ministerpräsident', 'amigo-affäre', 'korruption', 'früherer ministerpräsident bayern', 'ehemaliger bayrischer ministerpräsident'];[3, 1, 1, 1, 1, 1, 1];['csu', 'korruption', 'bayern', 'ministerpräsident', 'vetternwirtschaft', 'machtmissbrauch', 'netzwerk aus freunden', 'betrug', 'bestechung', 'reaktionär', 'amigo-affäre', 'bestechlichkeit als ministerpräsident bayerns', 'lobbyismus', 'trauerspiel', 'demokratiefeindlich', 'verlogen', 'früherer ministerpräsident bayern', 'amigo-spendenaffäre', 'ehemaliger bayrischer ministerpräsident', 'volksheld in bayern', 'ex-ministerpräsident', 'milliardendeal mit ddr', 'bayer'];[5, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];23;[3.0, 4.0, 5.0, 5.0, 5.0, 5.0, 2.0, 4.0, 2.0];4;3.888888889;['30-39', '40-49', '40-49', '40-49', '30-39', '50-59', '30-39', '60-69', '50-59'];60;['vetternwirtschaft', 'ministerpräsident', 'csu', 'amigo-affäre', 'korruption', 'früherer ministerpräsident bayern', 'ehemaliger bayrischer ministerpräsident', 'csu', 'csu'];[['vetternwirtschaft', 'korruption', 'machtmissbrauch'], ['ministerpräsident', 'bayern', 'netzwerk aus freunden', 'betrug', 'bestechung'], ['csu', 'bayern', 'reaktionär'], ['amigo-affäre', 'bestechlichkeit als ministerpräsident bayerns'], ['korruption', 'lobbyismus', 'trauerspiel', 'demokratiefeindlich', 'verlogen'], ['früherer ministerpräsident bayern', 'csu', 'amigo-spendenaffäre'], ['ehemaliger bayrischer ministerpräsident', 'csu', 'volksheld in bayern'], ['csu', 'bayern', 'ministerpräsident', 'korruption'], ['csu', 'ex-ministerpräsident', 'milliardendeal mit ddr', 'bayer']];15;['30-39', '40-49', '40-49', '30-39', '40-49', '40-49', '30-39', '30-39', '50-59', '30-39', '60-69', '50-59', '30-39', '20-29', '30-39'];prolific
