target_name,all-associations,count-per-association
Alexander Dobrindt,politiker,3
Alexander Dobrindt,csu,3
Alexander Dobrindt,cdu,2
Alexander Dobrindt,verkehr?,1
Alexander Dobrindt,irgendwie habe ich ihn negativ gespeichert,1
Alexander Dobrindt,verkehr,1
Alexander Dobrindt,funktionär,1
Alexander Dobrindt,landesgruppenchef,1
Alexander Dobrindt,unsympathisch,1
Alexander Dobrindt,intrigant,1
Alexander Dobrindt,rechts,1
Alexander Dobrindt,maut,1
Alexander Dobrindt,negativschlagzeilen,1
Alexander Dobrindt,ehemaliger verkehrsminister,1
Alexander Dobrindt,minister,1
Alexander Dobrindt,cdu-politiker,1
Alexander Dobrindt,brille,1
Alexander Dobrindt,abgeordneter im bundestag,1
Alexander Gauland,afd,11
Alexander Gauland,politiker,8
Alexander Gauland,alt,2
Alexander Gauland,nazi,2
Alexander Gauland,populist,2
Alexander Gauland,rassismus,1
Alexander Gauland,gefahr,1
Alexander Gauland,rechts,1
Alexander Gauland,jurist,1
Alexander Gauland,faschist,1
Alexander Gauland,ehemals cdu,1
Alexander Gauland,lustig,1
Alexander Gauland,cdu,1
Alexander Gauland,rechtspopulist,1
Alexander Gauland,gebildet,1
Alexander Gauland,rechtsextrem,1
Alexander Gauland,ehemaliger vositzender der afd,1
Alexander Gauland,fliegenschiss,1
Alice Weidel,afd,12
Alice Weidel,lesbisch,7
Alice Weidel,rechts,3
Alice Weidel,politikerin,3
Alice Weidel,nazi,3
Alice Weidel,politik,2
Alice Weidel,deutschland,1
Alice Weidel,lebt mit einer frau zusammen,1
Alice Weidel,verheiratet,1
Alice Weidel,ausländerfeindlich,1
Alice Weidel,afd-politikerin,1
Alice Weidel,menschenfeindin,1
Alice Weidel,wohnt in der schweiz,1
Alice Weidel,rechtsradikal,1
Alice Weidel,empathielos,1
Alice Weidel,hinterhältig,1
Alice Weidel,bösartig,1
Alice Weidel,ex-unternehmerin,1
Alice Weidel,scharfe kritikerin im bundestag,1
Alice Weidel,spricht mandarin,1
Alice Weidel,schweiz,1
Alice Weidel,queer,1
Alice Weidel,kontrovers,1
Alice Weidel,scheiße-attacke,1
Alice Weidel,blöd,1
Alice Weidel,vorsitzende der afd,1
Alice Weidel,kommt aus der schweiz,1
Alice Weidel,power-frau,1
Alice Weidel,ökonomin,1
Alice Weidel,homosexuell,1
Alice Weidel,mutter,1
Alice Weidel,bundestagsabgeordnete,1
Andrea Nahles,spd,5
Andrea Nahles,politikerin,2
Andrea Nahles,ehemalige politikerin,2
Andrea Nahles,politiker,1
Andrea Nahles,ministerin,1
Andrea Nahles,ex-ministerin,1
Andrea Nahles,links,1
Andrea Nahles,ehemalige arbeitsministerin,1
Andrea Nahles,bundestag,1
Andrea Nahles,frau,1
Andrea Nahles,agentur für arbeit,1
Andrea Nahles,gesang,1
Andrea Nahles,weitestgehend unbekannt,1
Andrea Nahles,bundesministerium für arbeit,1
Andreas Scheuer,csu,4
Andreas Scheuer,politiker,3
Andreas Scheuer,cdu,3
Andreas Scheuer,maut,2
Andreas Scheuer,verkehrsminister,2
Andreas Scheuer,inkompetent,2
Andreas Scheuer,ehemaliger verkehrsminister,2
Andreas Scheuer,unnütz,1
Andreas Scheuer,politik,1
Andreas Scheuer,maut-skandal,1
Andreas Scheuer,korrupt,1
Andreas Scheuer,transport,1
Andreas Scheuer,unpopulär,1
