target_name,first-association,count-per-first-association
Alexander Dobrindt,politiker,2
Alexander Dobrindt,csu,1
Alexander Dobrindt,maut,1
Alexander Dobrindt,minister,1
Alexander Dobrindt,cdu-politiker,1
Alexander Dobrindt,brille,1
Alexander Gauland,afd,8
Alexander Gauland,politiker,3
Alexander Gauland,rassismus,1
Alice Weidel,afd,9
Alice Weidel,politikerin,2
Alice Weidel,nazi,1
Alice Weidel,rechtsradikal,1
Alice Weidel,vorsitzende der afd,1
Alice Weidel,power-frau,1
Andrea Nahles,spd,4
Andrea Nahles,politikerin,2
Andrea Nahles,ehemalige politikerin,1
Andreas Scheuer,csu,2
Andreas Scheuer,politiker,2
Andreas Scheuer,unnütz,1
Andreas Scheuer,korrupt,1
Andreas Scheuer,transport,1
Andreas Scheuer,ex-verskehrsminister,1
Andreas Scheuer,deutscher politiker,1
Angela Merkel,bundeskanzlerin,2
Angela Merkel,ex-kanzlerin,2
Angela Merkel,mutti,1
Angela Merkel,ehemalige bundeskanzlerin,1
Angela Merkel,cdu-politikerin,1
Angela Merkel,politikerin,1
Angela Merkel,kanzlerin,1
Angela Merkel,ehemalige deutsche kanzlerin,1
Angela Merkel,deutschland,1
Angela Merkel,merkel-raute,1
Angela Merkel,ehemalige kanzlerin,1
Angela Merkel,kanzlerin für 16 jahre,1
Angela Merkel,asylanten-krise,1
Annalena Baerbock,grüne,5
Annalena Baerbock,außenministerin,2
Annalena Baerbock,die grünen,2
Annalena Baerbock,inkompetent,1
Annalena Baerbock,die grüne,1
Annalena Baerbock,politikerin,1
Annalena Baerbock,deutsche außenministerin,1
Annalena Baerbock,politiker,1
Annalena Baerbock,völlig unfähig,1
Anton Hofreiter,politiker,3
Anton Hofreiter,grüne partei,1
Anton Hofreiter,biologe,1
Anton Hofreiter,frisur,1
Anton Hofreiter,rechtspopulistisch,1
Anton Hofreiter,die grünen,1
Anton Hofreiter,politiker von den grünen,1
Anton Hofreiter,bündnis 90,1
Armin Laschet,cdu,3
Armin Laschet,politiker,3
Armin Laschet,politik,2
Armin Laschet,ahrtal,1
Armin Laschet,ex-cdu spitzenkandidat,1
Armin Laschet,nrw,1
Armin Laschet,schüchtern,1
Armin Laschet,gescheiterter kanzlerkandidat,1
Armin Laschet,deutscher politiker,1
Barack Obama,präsident,2
Barack Obama,us-präsident,2
Barack Obama,usa,2
Barack Obama,erster schwarzer us-präsident,1
Barack Obama,ehemaliger amerikanischer präsident,1
Barack Obama,ehemaliger us-präsident,1
Barack Obama,politiker,1
Barack Obama,ehemaliger us-amerikanischer präsident,1
Barack Obama,ex-präsident,1
Barack Obama,erster schwarzer präsident der usa,1
Barack Obama,drohenkönig,1
Barack Obama,potus,1
Bastian Schweinsteiger,fußball,4
Bastian Schweinsteiger,fußballer,3
Bastian Schweinsteiger,weltmeister,2
Bastian Schweinsteiger,bayern münchen,1
Bastian Schweinsteiger,ex-fußballer,1
Bastian Schweinsteiger,fc bayern,1
Bastian Schweinsteiger,deutscher fußballspieler,1
Bastian Schweinsteiger,ehermaliger fußballer,1
Bastian Schweinsteiger,ehemaliger fußballspieler,1
Bill Gates,microsoft,4
Bill Gates,reich,4
Bill Gates,windows,3
Bill Gates,multimilliardär,1
Bill Gates,master-mind,1
Bill Gates,gründer von microsoft,1
Bill Gates,epstein island,1
Björn Höcke,afd,8
Björn Höcke,rassismus,1
Björn Höcke,"""politiker""",1
Björn Höcke,politiker,1
Björn Höcke,sächsischer politiker,1
Bodo Ramelow,ministerpräsident,2
Bodo Ramelow,thüringischer ministerpräsident,1
Bodo Ramelow,was mit fußball,1
Bodo Ramelow,politiker,1
Bodo Ramelow,thüringen,1
Bodo Ramelow,die linke,1
Bodo Ramelow,ministerpräsident von thüringen,1
Cem Özdemir,politik,3
Cem Özdemir,grüne,3
Cem Özdemir,politiker,2
Cem Özdemir,landwirtschaftsminister,1
Cem Özdemir,türkei,1
Cem Özdemir,bauernproteste,1
Cem Özdemir,minister,1
Cem Özdemir,deutscher landwirtschaftsminister,1
Christian Drosten,corona,5
Christian Drosten,virologe,2
Christian Drosten,professor,1
Christian Drosten,doktor,1
Christian Drosten,epidemiologe,1
Christian Drosten,wissenschaftler,1
Christian Drosten,deutscher virologe,1
Christian Lindner,fdp,8
Christian Lindner,politiker,2
Christian Lindner,fdp politiker,1
Christian Lindner,weltfremder liberaler,1
Christian Lindner,finanzminister,1
Christian Lindner,haartransplantat,1
Christian Lindner,fdp-politiker,1
Frank-Walter Steinmeier,bundespräsident,7
Frank-Walter Steinmeier,politiker,2
Frank-Walter Steinmeier,spd,1
Frank-Walter Steinmeier,bundesminister,1
Frank-Walter Steinmeier,deutschland,1
Frank-Walter Steinmeier,kanzlerkandidat,1
Frank-Walter Steinmeier,präsident von deutschland,1
Franz Josef Strauß,politiker,3
Franz Josef Strauß,csu,2
Franz Josef Strauß,verstorben,1
Franz Josef Strauß,parteivorsitzender,1
Franz Josef Strauß,2 dm-stück,1
Franz Josef Strauß,finanzminister westdeutschlands in den fünfzigern,1
Franziska Giffey,spd,3
Franziska Giffey,kabinett merkel,1
Franziska Giffey,ehemalige familienministerin,1
Franziska Giffey,frau,1
Franziska Giffey,politikerin,1
Franziska Giffey,stellvertretende bürgermeisterin in berlin,1
Frauke Petry,afd,3
Frauke Petry,politikerin,2
Frauke Petry,nazi,1
Frauke Petry,fdp-vorsitzende,1
Frauke Petry,frühe afd,1
Frauke Petry,ehemalige afd-politikerin,1
Frauke Petry,ex-afd,1
Fredi Bobic,fußballer,2
Fredi Bobic,ehemaliger fußballer,2
Fredi Bobic,ex-fußballspieler,1
Fredi Bobic,fußballspieler,1
Friedrich Merz,cdu,5
Friedrich Merz,politiker,2
Friedrich Merz,lobbyist,1
Friedrich Merz,aktueller cdu-chef,1
Friedrich Merz,csu,1
Friedrich Merz,vorsitzender der cdu,1
George Bush,usa,3
George Bush,präsident,2
George Bush,politiker,2
George Bush,us-präsident,2
George Bush,republikaner,1
George Bush,idiot,1
George Bush,"george ""w."" bush",1
George Bush,ex-präsident der usa,1
George Bush,gibts in der version junior und senior,1
George Bush,potus,1
Gerhard Schröder,spd,3
Gerhard Schröder,politiker,3
Gerhard Schröder,deutschland,1
Gerhard Schröder,russischer kolarobateur,1
Gerhard Schröder,gazprom,1
Gerhard Schröder,politik,1
Gerhard Schröder,ex-kanzler,1
Gerhard Schröder,altkanzler,1
Gerhard Schröder,russland,1
Gerhard Schröder,deutscher kanzler während der nuller jahre,1
Gerhard Schröder,eine flasche bier,1
Greta Thunberg,fridays for future,4
Greta Thunberg,klimaaktivistin,4
Greta Thunberg,aktivistin,2
Greta Thunberg,umwelt,1
Greta Thunberg,politik,1
Greta Thunberg,jung,1
Greta Thunberg,junge frau,1
