target_pnc,target_name,all-associations,count-per-association
Abschiebe-Kretschmann,Winfried Kretschmann,ministerpräsident,3
Abschiebe-Kretschmann,Winfried Kretschmann,grüne,2
Abschiebe-Kretschmann,Winfried Kretschmann,baden-württemberg,2
Abschiebe-Kretschmann,Winfried Kretschmann,migration,1
Abschiebe-Kretschmann,Winfried Kretschmann,schwabe,1
Abschiebe-Kretschmann,Winfried Kretschmann,grün,1
Abschiebe-Kretschmann,Winfried Kretschmann,reaktionär,1
Abschiebe-Kretschmann,Winfried Kretschmann,neoliberal,1
Abschiebe-Kretschmann,Winfried Kretschmann,wollte abschiebungen erleichtern,1
Abschiebe-Kretschmann,Winfried Kretschmann,sachsen,1
Abschiebe-Kretschmann,Winfried Kretschmann,cdu,1
Abschiebe-Kretschmann,Winfried Kretschmann,setzt sich für abschiebung krimineller ausländer ein,1
Abschiebe-Kretschmann,Winfried Kretschmann,politiker,1
Abschiebe-Kretschmann,Winfried Kretschmann,flüchtlinge,1
Abschiebe-Kretschmann,Winfried Kretschmann,umstritten,1
Abschiebe-Kretschmann,Winfried Kretschmann,konsequent,1
Abschiebe-Kretschmann,Winfried Kretschmann,politikerin,1
Abschiebe-Kretschmann,Winfried Kretschmann,sorgt für viele abschiebungen,1
Abschiebe-Kretschmann,Winfried Kretschmann,soziale partei,1
Abschiebe-Kretschmann,Winfried Kretschmann,schwäbisch,1
Abschiebe-Kretschmann,Winfried Kretschmann,"""grün-schwarz""",1
Abschiebe-Kretschmann,Winfried Kretschmann,"""pragmatisch""",1
Abschiebe-Kretschmann,Winfried Kretschmann,konservativ,1
Abschiebe-Seehofer,Horst Seehofer,bayern,2
Abschiebe-Seehofer,Horst Seehofer,csu,2
Abschiebe-Seehofer,Horst Seehofer,unsympathisch,1
Abschiebe-Seehofer,Horst Seehofer,ausländerpolitik,1
Abschiebe-Seehofer,Horst Seehofer,politik,1
Abschiebe-Seehofer,Horst Seehofer,arbeitet hart gegen asylanten,1
Abschiebe-Seehofer,Horst Seehofer,kaltherzig,1
Abschiebe-Seehofer,Horst Seehofer,csu-politiker,1
Abschiebe-Seehofer,Horst Seehofer,innenminister aus bayern,1
Abschiebe-Seehofer,Horst Seehofer,mehr der strenge typ,1
Abschiebe-Seehofer,Horst Seehofer,cdu,1
Abschiebe-Seehofer,Horst Seehofer,konservativ,1
