target_pnc,target_name,first-association,count-per-first-association
Abschiebe-Kretschmann,Winfried Kretschmann,ministerpräsident,2
Abschiebe-Kretschmann,Winfried Kretschmann,migration,1
Abschiebe-Kretschmann,Winfried Kretschmann,grüne,1
Abschiebe-Kretschmann,Winfried Kretschmann,grün,1
Abschiebe-Kretschmann,Winfried Kretschmann,politiker,1
Abschiebe-Kretschmann,Winfried Kretschmann,politikerin,1
Abschiebe-Kretschmann,Winfried Kretschmann,schwäbisch,1
Abschiebe-Seehofer,Horst Seehofer,unsympathisch,1
Abschiebe-Seehofer,Horst Seehofer,arbeitet hart gegen asylanten,1
Abschiebe-Seehofer,Horst Seehofer,csu-politiker,1
Abschiebe-Seehofer,Horst Seehofer,innenminister aus bayern,1
Abschiebe-Seehofer,Horst Seehofer,cdu,1
Abschiebe-Seehofer,Horst Seehofer,rechter populist,1
Abschiebe-Seehofer,Horst Seehofer,66. geburtstag 66 abschiebungen,1
Abschiebe-Seehofer,Horst Seehofer,geburtstag,1
Abschiebe-Seehofer,Horst Seehofer,abschiebung,1
Abschiebe-Seehofer,Horst Seehofer,csu,1
Abschiebe-Seehofer,Horst Seehofer,ehemaliger ministerpräsident bayern,1
AfD-Höcke,Björn Höcke,nazi,3
AfD-Höcke,Björn Höcke,politiker,3
AfD-Höcke,Björn Höcke,rassistisch,1
AfD-Höcke,Björn Höcke,hohes parteimitglied,1
AfD-Höcke,Björn Höcke,völkisch,1
AfD-Höcke,Björn Höcke,rechts,1
AfD-Höcke,Björn Höcke,unsympatisch,1
AfD-Höcke,Björn Höcke,landtag,1
AfD-Höcke,Björn Höcke,rechtsextrem,1
AfD-Meuthen,Jörg Meuthen,rechts,2
AfD-Meuthen,Jörg Meuthen,politiker,2
AfD-Meuthen,Jörg Meuthen,früherer afd-chef,1
AfD-Meuthen,Jörg Meuthen,afd-gründer,1
AfD-Meuthen,Jörg Meuthen,afd,1
AfD-Meuthen,Jörg Meuthen,vorsitzender afd,1
AfD-Meuthen,Jörg Meuthen,nazi,1
AfD-Meuthen,Jörg Meuthen,rechtsextrem,1
Affären-Scholz,Olaf Scholz,spd,3
Affären-Scholz,Olaf Scholz,cum-ex affäre,1
Affären-Scholz,Olaf Scholz,untreue,1
Affären-Scholz,Olaf Scholz,cum-ex-affaire,1
Affären-Scholz,Olaf Scholz,bundeskanzler,1
Affären-Scholz,Olaf Scholz,mögliche politische kontroversen,1
Affären-Scholz,Olaf Scholz,politiker,1
Agenda-Schröder,Gerhard Schröder,spd,4
Agenda-Schröder,Gerhard Schröder,agenda 2010,3
Agenda-Schröder,Gerhard Schröder,früherer deutscher bundeskanzler,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,cdu,2
Aktenkoffer-Schäuble,Wolfgang Schäuble,schwarzgeld,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,finanzpolitik,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,bundestagspräsident,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,formell,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,100000 mark,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,nicht gemeldete parteispenden,1
Aktien-Merz,Friedrich Merz,cdu,2
Aktien-Merz,Friedrich Merz,geschäftsmann,1
Aktien-Merz,Friedrich Merz,cdu-politiker,1
Aktien-Merz,Friedrich Merz,er wirkt wirtschaftsnah,1
Aktien-Merz,Friedrich Merz,reich,1
Aktien-Merz,Friedrich Merz,blackrock,1
Aktien-Merz,Friedrich Merz,reichtum,1
Aktien-Merz,Friedrich Merz,besitz von aktien und wertpapiere,1
Alleingang-Söder,Markus Söder,kompromisslos,1
Alleingang-Söder,Markus Söder,dass der söder lieber mit bayern einen alleingang macht anstatt mit anderen bundesländern zusammenzuarbeiten,1
Alleingang-Söder,Markus Söder,cdu,1
Alleingang-Söder,Markus Söder,sturkopf,1
Alleingang-Söder,Markus Söder,ministerpräsident,1
Alleingang-Söder,Markus Söder,politiker,1
Alleingang-Söder,Markus Söder,ego,1
Alleingang-Söder,Markus Söder,franke,1
Alleingang-Söder,Markus Söder,bayern,1
Alleingang-Söder,Markus Söder,ministerpräsident von bayern,1
Alleingang-Söder,Markus Söder,minister,1
Amigo-Strauß,Franz Josef Strauß,csu,3
Amigo-Strauß,Franz Josef Strauß,vetternwirtschaft,1
Amigo-Strauß,Franz Josef Strauß,ministerpräsident,1
Amigo-Strauß,Franz Josef Strauß,amigo-affäre,1
Amigo-Strauß,Franz Josef Strauß,korruption,1
Amigo-Strauß,Franz Josef Strauß,früherer ministerpräsident bayern,1
Amigo-Strauß,Franz Josef Strauß,ehemaliger bayrischer ministerpräsident,1
Ampel-Söder,Markus Söder,wendehals,1
Ampel-Söder,Markus Söder,er arbeitet sich nur an der ampel ab,1
Ampel-Söder,Markus Söder,csu,1
Ampel-Söder,Markus Söder,csu-vorsitz,1
Ampel-Söder,Markus Söder,söder kritisiert nur die ampel obwohl die cdu/csu an vielen themen im lande schuld ist.,1
Ampel-Söder,Markus Söder,gegen die ampel,1
Ampel-Söder,Markus Söder,bayern,1
Ampel-Söder,Markus Söder,überheblich,1
Apartheid-Gabriel,Sigmar Gabriel,niedersachsen,2
Apartheid-Gabriel,Sigmar Gabriel,spd-politiker,1
Apartheid-Gabriel,Sigmar Gabriel,rechts,1
Apartheid-Gabriel,Sigmar Gabriel,spd,1
Armani-Schröder,Gerhard Schröder,bundeskanzler,4
Armani-Schröder,Gerhard Schröder,gerd-show,1
Armani-Schröder,Gerhard Schröder,piekfeiner kanzler,1
Armani-Schröder,Gerhard Schröder,teure anzüge,1
Armani-Schröder,Gerhard Schröder,reich,1
Armani-Schröder,Gerhard Schröder,altkanzler,1
Armani-Schröder,Gerhard Schröder,politiker,1
Armani-Schröder,Gerhard Schröder,altbundeskanzler,1
Asyltourismus-Söder,Markus Söder,politik,2
Asyltourismus-Söder,Markus Söder,bayern,2
Asyltourismus-Söder,Markus Söder,cdu-politiker,1
Asyltourismus-Söder,Markus Söder,er macht manchmal politik gegen migranten,1
Asyltourismus-Söder,Markus Söder,rechts,1
Asyltourismus-Söder,Markus Söder,csu,1
Asyltourismus-Söder,Markus Söder,großes aufkommen von asylsuchenden 2020 und 2021,1
Atom-Greta,Greta Thunberg,klima,2
Atom-Greta,Greta Thunberg,verschwörung,1
Atom-Greta,Greta Thunberg,umwelt,1
Atom-Greta,Greta Thunberg,stark,1
Atom-Greta,Greta Thunberg,klimaaktivistin,1
Atom-Greta,Greta Thunberg,natur,1
Atom-Greta,Greta Thunberg,klimaschutz,1
Atom-Greta,Greta Thunberg,fridays for future,1
Atom-Greta,Greta Thunberg,atomkraft-support,1
Atom-Greta,Greta Thunberg,umweltaktivistin,1
Atom-Greta,Greta Thunberg,klimawandel,1
Atom-Merkel,Angela Merkel,bundeskanzlerin,2
Atom-Merkel,Angela Merkel,energiewende,1
Atom-Merkel,Angela Merkel,putin-nah,1
Atom-Merkel,Angela Merkel,mehr förderung der kohlekraftwerke als atomkraftwerke,1
Atom-Merkel,Angela Merkel,atomaustieg,1
Atom-Merkel,Angela Merkel,grüne energie,1
Atom-Merkel,Angela Merkel,atomausstieg nach fukushima-katastrophe,1
Atom-Merkel,Angela Merkel,verantwortlich für deutschen atomausstieg,1
Atom-Merkel,Angela Merkel,atom-ausstieg,1
Atom-Merkel,Angela Merkel,ex-bundeskanlerin,1
Atom-Merkel,Angela Merkel,mutti,1
Atom-Merkel,Angela Merkel,atomausstieg,1
Atom-Merkel,Angela Merkel,kanzlerin,1
Atom-Putin,Vladimir Putin,russland,2
Atom-Putin,Vladimir Putin,präsident,2
Atom-Putin,Vladimir Putin,bedrohung,1
Atom-Putin,Vladimir Putin,droht mit atom-krieg,1
Atom-Putin,Vladimir Putin,krieg,1
Atom-Putin,Vladimir Putin,atombomben,1
Atom-Putin,Vladimir Putin,invasion der ukraine,1
Atom-Putin,Vladimir Putin,drohte mit atom-bombe,1
